,text,offensive
0,warning penny boards make faggot,1
1,fuck dykes,1
2,least dont look like jefree starr faggot,1
3,fag jackie jealous neeeee,1
4,heard bitch way im back th texas wtf u talking bitch ass nigga,1
5,dirty terrorist religion fucking joke go around screaming allah akbar terrorist shit dirty faggot,1
6,rt whiteponyjr looking like faggots,1
7,well thought knew actually rt man yall didnt tell dick riding ass faggot yall real,1
8,know joke faggot,1
9,im tired people saying look like brother amp calling deondre like serious succ ass fag asses,1
10,yeah cuz 8 million people faggot ass jewsgt fuck right fuck bibi netanyahu right,1
11,word use roids stupid hypocrite lying faggot,1
12,hate faggots like,1
13,shut nigger whore hope u get raped one animals might change tune,1
14,fuck nigger sheboon hope r strung like niggers whitepower,1
15,used tie ends niggers legs 2 different horses beat horses spread legs break smh,1
16,good night fags fagettes thats female version fags like fagettes make female hate,1
17,cant stand crybaby ass nigga gon na act like bitch leave yo ass instavideo yo stupid lookin ass,1
18,rt youre nigger,1
19,ill fuck til love faggot mike tyson,1
20,whats problem dont u know jews control niggers read book two,1
21,fucking hate niggers bruh,1
22,rt species birds known hold funerals deceased,0
23,remember draft prom night dress wouldnt zip bawling eyes screaming didnt want go funny haha,0
24,damn eli thats ruff im even gon na trash talk one get game together eli youre good qb stop tos,0
25,also happy armistice day anachroniststhe hun either throat feet churchill,0
26,friend suggested dress fairy halloween party attendingim thinking wizardess course,0
27,rt apparently bae means anyone else always thought ghetto word babe,0
28,suspended day random lag spikes force close client relog suspended gg,0
29,w moxy big comeback major penalty killed capsgreat game 5 cases,0
30,pollo,0
31,wear shorty shorts fuzzy boots negative degree weather,0
32,awww thats cute nieces guinea pig crawled dads pants amp well dont think need finish sentencelol,0
33,gave ole uncle charlie mr ortiz,0
34,rt dollar every time died flappy bird,0
35,rt fact kim kardashians app may make 200 million makes wish speed process apes take ove,0
36,play keeps play wit gon yellow tape,0
37,youre idiot,0
38,mock wedding photos,0
39,vermont big news govern got buck,0
40,sitting alone watching white chicks pants fuzzy blankets tea || turn,0
41,want go haunted house maybe get possesed yknow see ghosts real,0
42,10 bucks browns get johnny,0
43,bitch mustash year half wtf wrong itch,1
44,rt huge ass small waist amp okay face amp bitches really think famous,1
45,bobby flay bitch,1
46,im never gon na ok nigga around alot bitches boys cause female boys put,1
47,bad bitches lol,1
48,rt cant help hate even though never intentionally anything youre still cunt,1
49,rt females overlook us geeks take glasses im longer clark kent go superman pussy fa,1
50,rt sunday funday hoe quotes,1
51,know bitches leave,1
52,rt young attractive successful supportive faithful man w everythingu think bringing solely pussy table,1
53,rt shut fuck ugly ass bitch nigga stole setup,1
54,emma watson slays every single harry potter movie film becomes bitch,1
